Year,City,Sport,Athlete,Country,Gender,Event,Medal
1924,Chamonix,Ice Hockey,"CAMERON, Jack",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"COLLETT, Ernest J.",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"MAC CAFFERY, Albert",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"MAC MUNN, Harold",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"MUNRO, Duncan",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"RAMSAY, W.-Beattie",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"SLATER, Cyril",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"SMITH, Reginald",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"WATSON, Harry",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"ANDERSON, William",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"BOULDEN, C.-B.",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CARR-HARRIS, Louis Howland",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CARRUTHERS, Colin Gordon",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CARRUTHERS, Eric Dudley",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CLARKSON, Guy E.",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CUTHBERT, Ross George",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"HOLMES, George",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"JUKES, Hamilton",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"PATTON, B.-N.",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"PITBLADO, Edward",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"SEXTON, Blane Nathaniel",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"ABEL, Clarence John",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"DRURY, Herbert L.",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"GERAN, N.",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"LACROIX, Alphonse",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"LANGLEY, John Arthur",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"LYONS, John Sharkey",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"MAC CARTHY, Justin",USA,Men,Ice Hockey,Silver
1924,Chamonix,Ice Hockey,"RICE, Willard",USA,Men,Ice Hockey,Silver
