Year,City,Sport,Athlete,Country,Gender,Event,Medal
1980,Lake Placid,Skating,"BOUCHER, Gaetan",CAN,Men,1000M,Silver
1980,Lake Placid,Skiing,"PODBORSKI, Steve",CAN,Men,Downhill,Bronze
1984,Sarajevo,Skating,"ORSER, Brian",CAN,Men,Individual,Silver
1984,Sarajevo,Skating,"BOUCHER, Gaetan",CAN,Men,1000M,Gold
1984,Sarajevo,Skating,"BOUCHER, Gaetan",CAN,Men,1500M,Gold
1984,Sarajevo,Skating,"BOUCHER, Gaetan",CAN,Men,500M,Bronze
1988,Calgary,Skating,"MCCALL, Robert",CAN,Men,Ice Dancing,Bronze
1988,Calgary,Skating,"WILSON, Tracy",CAN,Women,Ice Dancing,Bronze
1988,Calgary,Skating,"ORSER, Brian",CAN,Men,Individual,Silver
1988,Calgary,Skating,"MANLEY, Elizabeth",CAN,Women,Individual,Silver
1988,Calgary,Skiing,"PERCY, Karen",CAN,Women,Downhill,Bronze
1988,Calgary,Skiing,"PERCY, Karen",CAN,Women,Super-G,Bronze
1992,Albertville,Biathlon,"BEDARD, Myriam",CAN,Women,15KM,Bronze
1992,Albertville,Ice Hockey,"ARCHIBALD, David",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"BROST, Todd",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"BURKE, Sean",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"DAHL, Kevin",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"GILES, Curtis",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"HANNAN, David",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"HYNES, Gordon",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"JOSEPH, Fabian",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"JUNEAU, Joe",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"KIDD, Trevor",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"LEBEAU, Patrick",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"LINDBERG, Chris",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"LINDROS, Eric",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"MANDERVILLE, Kent",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"PLAVSIC, Adrian",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"RATUSHNY, Dan",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"SCHLEGEL, Bradley",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"SCHREIBER, Wallace",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"SMITH, Randy",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"ST.LAURENT, Sam",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"TIPPETT, David",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"TUTT, Brian",CAN,Men,Ice Hockey,Silver
1992,Albertville,Ice Hockey,"WOOLLEY, Jason",CAN,Men,Ice Hockey,Silver
1992,Albertville,Skating,"BRASSEUR, Isabelle",CAN,Women,Pairs,Bronze
1992,Albertville,Skating,"EISLER, Lloyd",CAN,Men,Pairs,Bronze
1992,Albertville,Skating,"BLACKBURN, Frederic",CAN,Men,1000M,Silver
1992,Albertville,Skating,"CUTRONE, Angela",CAN,Women,3000M Relay,Gold
1992,Albertville,Skating,"DAIGLE, Sylvie",CAN,Women,3000M Relay,Gold
1992,Albertville,Skating,"LAMBERT, Nathalie",CAN,Women,3000M Relay,Gold
1992,Albertville,Skating,"PERREAULT, Annie",CAN,Women,3000M Relay,Gold
1992,Albertville,Skating,"BLACKBURN, Frederic",CAN,Men,5000M Relay,Silver
1992,Albertville,Skating,"DAIGNAULT, Laurent",CAN,Men,5000M Relay,Silver
1992,Albertville,Skating,"DAIGNAULT, Michel",CAN,Men,5000M Relay,Silver
1992,Albertville,Skating,"GAGNON, Sylvain",CAN,Men,5000M Relay,Silver
1992,Albertville,Skating,"LACKIE, Mark",CAN,Men,5000M Relay,Silver
1992,Albertville,Skiing,"LEE-GARTNER, Kerrin",CAN,Women,Downhill,Gold
1994,Lillehammer,Biathlon,"BEDARD, Myriam",CAN,Women,15KM,Gold
1994,Lillehammer,Biathlon,"BEDARD, Myriam",CAN,Women,7.5KM,Gold
1994,Lillehammer,Ice Hockey,"ASTLEY, Mark",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"AUCOIN, Adrian",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"HARLOCK, David",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"HIRSCH, Corey",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"HLUSHKO, Todd",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"JOHNSON, Greg",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"JOSEPH, Fabian",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"KARIYA, Paul",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"KONTOS, Chris",CAN,Men,Ice Hockey,Silver
1994,Lillehammer,Ice Hockey,"LEGACE, Manny",CAN,Men,Ice Hockey,Silver
