Year,City,Sport,Athlete,Country,Gender,Event,Medal
1980,Lake Placid,Luge,"FLUCKINGER, Georg",AUT,Men,Doubles,Bronze
1980,Lake Placid,Luge,"SCHROTT, Karl",AUT,Men,Doubles,Bronze
1980,Lake Placid,Skiing,"STOCK, Leonhard",AUT,Men,Downhill,Gold
1980,Lake Placid,Skiing,"WIRNSBERGER, Peter",AUT,Men,Downhill,Silver
1980,Lake Placid,Skiing,"MOSER-PROLL, Annemarie",AUT,Women,Downhill,Gold
1980,Lake Placid,Skiing,"ENN, Hans",AUT,Men,Giant Slalom,Bronze
1980,Lake Placid,Skiing,"NEUPER, Hubert",AUT,Men,K120 Individual (90M),Silver
1980,Lake Placid,Skiing,"INNAUER, Anton",AUT,Men,K90 Individual (70M),Gold
1984,Sarajevo,Skiing,"STEINER, Anton",AUT,Men,Downhill,Bronze
1988,Calgary,Skating,"HADSCHIEFF, Michael",AUT,Men,10000M,Silver
1988,Calgary,Skating,"HADSCHIEFF, Michael",AUT,Men,1500M,Bronze
1988,Calgary,Skiing,"STROLZ, Hubert",AUT,Men,Alpine Combined,Gold
1988,Calgary,Skiing,"GSTREIN, Bernhard",AUT,Men,Alpine Combined,Silver
1988,Calgary,Skiing,"WACHTER, Anita",AUT,Women,Alpine Combined,Gold
1988,Calgary,Skiing,"STROLZ, Hubert",AUT,Men,Giant Slalom,Silver
1988,Calgary,Skiing,"MAYER, Helmut",AUT,Men,Super-G,Silver
1988,Calgary,Skiing,"WOLF, Sigrid",AUT,Women,Super-G,Gold
1988,Calgary,Skiing,"SULZENBACHER, Klaus",AUT,Men,Individual,Silver
1988,Calgary,Skiing,"ASCHENWALD, Hansje_rg",AUT,Men,Team,Bronze
1988,Calgary,Skiing,"CSAR, Ge_nther",AUT,Men,Team,Bronze
1988,Calgary,Skiing,"SULZENBACHER, Klaus",AUT,Men,Team,Bronze
1992,Albertville,Bobsleigh,"APPELT, Ingo",AUT,Men,Four-Man,Gold
1992,Albertville,Bobsleigh,"HAIDACHER, Gerhard",AUT,Men,Four-Man,Gold
1992,Albertville,Bobsleigh,"SCHROLL, Thomas",AUT,Men,Four-Man,Gold
1992,Albertville,Bobsleigh,"WINKLER, Harald",AUT,Men,Four-Man,Gold
1992,Albertville,Luge,"SCHMIDT, Markus",AUT,Men,Singles,Bronze
1992,Albertville,Luge,"PROCK, Markus",AUT,Men,Singles,Silver
1992,Albertville,Luge,"NEUNER, Doris",AUT,Women,Singles,Gold
1992,Albertville,Luge,"NEUNER, Angelika",AUT,Women,Singles,Silver
1992,Albertville,Skating,"HUNYADY, Emese",AUT,Women,3000M,Bronze
1992,Albertville,Skiing,"KRONBERGER, Petra",AUT,Women,Alpine Combined,Gold
1992,Albertville,Skiing,"WACHTER, Anita",AUT,Women,Alpine Combined,Silver
1992,Albertville,Skiing,"MADER, Ge_nther",AUT,Men,Downhill,Bronze
1992,Albertville,Skiing,"ORTLIEB, Patrick",AUT,Men,Downhill,Gold
1992,Albertville,Skiing,"STALLMAIER, Veronika",AUT,Women,Downhill,Bronze
1992,Albertville,Skiing,"WACHTER, Anita",AUT,Women,Giant Slalom,Silver
1992,Albertville,Skiing,"TRITSCHER, Michael",AUT,Men,Slalom,Bronze
1992,Albertville,Skiing,"KRONBERGER, Petra",AUT,Women,Slalom,Gold
1992,Albertville,Skiing,"SULZENBACHER, Klaus",AUT,Men,Individual,Bronze
1992,Albertville,Skiing,"KREINER, Stefan",AUT,Men,Team,Bronze
1992,Albertville,Skiing,"OFNER, Klaus",AUT,Men,Team,Bronze
1992,Albertville,Skiing,"SULZENBACHER, Klaus",AUT,Men,Team,Bronze
1992,Albertville,Skiing,"KUTTIN, Heinz",AUT,Men,K120 Individual (90M),Bronze
1992,Albertville,Skiing,"HOELLWARTH, Martin",AUT,Men,K120 Individual (90M),Silver
1992,Albertville,Skiing,"FELDER, Andreas",AUT,Men,K120 Team (90M),Silver
