Year,City,Sport,Athlete,Country,Gender,Event,Medal
1980,Lake Placid,Skating,"OXHOLM, Tom Erik",NOR,Men,10000M,Bronze
1980,Lake Placid,Skating,"Re_NNING, Frode",NOR,Men,1000M,Bronze
1980,Lake Placid,Skating,"ANDERSEN, Terje",NOR,Men,1500M,Bronze
1980,Lake Placid,Skating,"STENSHJEMMET, Kai Arne",NOR,Men,1500M,Silver
1980,Lake Placid,Skating,"JENSEN, Bje_rg Eva",NOR,Women,3000M,Gold
1980,Lake Placid,Skating,"OXHOLM, Tom Erik",NOR,Men,5000M,Bronze
1980,Lake Placid,Skating,"STENSHJEMMET, Kai Arne",NOR,Men,5000M,Silver
1980,Lake Placid,Skiing,"AUNLI, Ove",NOR,Men,15KM,Bronze
1980,Lake Placid,Skiing,"AALAND, Per Knut",NOR,Men,4X10KM Relay,Silver
1980,Lake Placid,Skiing,"AUNLI, Ove",NOR,Men,4X10KM Relay,Silver
1980,Lake Placid,Skiing,"BRAA, Oddvar",NOR,Men,4X10KM Relay,Silver
1980,Lake Placid,Skiing,"ERIKSEN, Lars Erik",NOR,Men,4X10KM Relay,Silver
1980,Lake Placid,Skiing,"AUNLI, Berit",NOR,Women,4X5KM Relay,Bronze
1980,Lake Placid,Skiing,"Be_E, Anette",NOR,Women,4X5KM Relay,Bronze
1980,Lake Placid,Skiing,"MYRMAEL, Marit",NOR,Women,4X5KM Relay,Bronze
1980,Lake Placid,Skiing,"PETTERSEN, Brit",NOR,Women,4X5KM Relay,Bronze
1984,Sarajevo,Biathlon,"KVALFOSS, Eirik",NOR,Men,10KM,Gold
1984,Sarajevo,Biathlon,"KVALFOSS, Eirik",NOR,Men,20KM,Bronze
1984,Sarajevo,Biathlon,"KVALFOSS, Eirik",NOR,Men,4X7.5KM Relay,Silver
1984,Sarajevo,Biathlon,"LIRHUS, Odd",NOR,Men,4X7.5KM Relay,Silver
1984,Sarajevo,Biathlon,"Se_BAK, Kjell",NOR,Men,4X7.5KM Relay,Silver
1984,Sarajevo,Biathlon,"STORSVEEN, Rolf",NOR,Men,4X7.5KM Relay,Silver
1984,Sarajevo,Skating,"ENGELSTAD, Kai Arne",NOR,Men,1000M,Bronze
1984,Sarajevo,Skiing,"PETTERSEN, Brit",NOR,Women,10KM,Bronze
1984,Sarajevo,Skiing,"JAHREN, Anne",NOR,Women,20KM,Bronze
1984,Sarajevo,Skiing,"AUNLI, Berit",NOR,Women,4X5KM Relay,Gold
1984,Sarajevo,Skiing,"JAHREN, Anne",NOR,Women,4X5KM Relay,Gold
1984,Sarajevo,Skiing,"NYBRAATEN, Inger Helene",NOR,Women,4X5KM Relay,Gold
1984,Sarajevo,Skiing,"PETTERSEN, Brit",NOR,Women,4X5KM Relay,Gold
1984,Sarajevo,Skiing,"AUNLI, Berit",NOR,Women,5KM,Silver
1984,Sarajevo,Skiing,"SANDBERG, Tom",NOR,Men,Individual,Gold
1988,Calgary,Skiing,"MIKKELSPLASS, Paal Gunnar",NOR,Men,15KM,Silver
1988,Calgary,Skiing,"ULVANG, Vegard",NOR,Men,30KM Mass Start,Bronze
1988,Calgary,Skiing,"DAHLMO, Marianne",NOR,Women,4X5KM Relay,Silver
1988,Calgary,Skiing,"DYBENDAHL HARTZ, Trude",NOR,Women,4X5KM Relay,Silver
1988,Calgary,Skiing,"JAHREN, Anne",NOR,Women,4X5KM Relay,Silver
1988,Calgary,Skiing,"MIKKELSPLASS, Marit",NOR,Women,4X5KM Relay,Silver
1988,Calgary,Skiing,"JOHNSEN, Erik",NOR,Men,K120 Individual (90M),Silver
1988,Calgary,Skiing,"EIDHAMMER, Ole C.",NOR,Men,K120 Team (90M),Bronze
1988,Calgary,Skiing,"FIDJESTe_L, Ole Gunnar",NOR,Men,K120 Team (90M),Bronze
1988,Calgary,Skiing,"JOHNSEN, Erik",NOR,Men,K120 Team (90M),Bronze
1988,Calgary,Skiing,"KJe_RUM, Jon",NOR,Men,K120 Team (90M),Bronze
1992,Albertville,Skating,"KARLSTAD, Geir",NOR,Men,10000M,Bronze
1992,Albertville,Skating,"KOSS, Johann Olav",NOR,Men,10000M,Silver
1992,Albertville,Skating,"KOSS, Johann Olav",NOR,Men,1500M,Gold
1992,Albertville,Skating,"SONDRAL, Adne",NOR,Men,1500M,Silver
