Year,City,Sport,Athlete,Country,Gender,Event,Medal
1980,Lake Placid,Ice Hockey,"BAKER, William",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"BROTEN, Neal",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"CHRISTIAN, David",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"CHRISTOFF, Steven",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"CRAIG, James",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"ERUZIONE, Michael",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"HARRINGTON, John",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"JOHNSON, Mark",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"MCCLANAHAN, Robert",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"MORROW, Kenneth",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"O'CALLAHAN, John",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"PAVELICH, Mark",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"RAMSEY, Michael",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"SCHNEIDER, William",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"SILK, David",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"STROBEL, Eric",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"SUTER, Robert",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"VERCHOTA, Philip",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Ice Hockey,"WELLS, Mark",USA,Men,Ice Hockey,Gold
1980,Lake Placid,Skating,"TICKNER, Charles",USA,Men,Individual,Bronze
1980,Lake Placid,Skating,"FRATIANNE, Linda",USA,Women,Individual,Silver
1980,Lake Placid,Skating,"HEIDEN, Eric",USA,Men,10000M,Gold
1980,Lake Placid,Skating,"HEIDEN, Eric",USA,Men,1000M,Gold
1980,Lake Placid,Skating,"MUELLER, Leah",USA,Women,1000M,Silver
1980,Lake Placid,Skating,"HEIDEN, Eric",USA,Men,1500M,Gold
1980,Lake Placid,Skating,"HEIDEN, Beth",USA,Women,3000M,Bronze
1980,Lake Placid,Skating,"HEIDEN, Eric",USA,Men,5000M,Gold
1980,Lake Placid,Skating,"HEIDEN, Eric",USA,Men,500M,Gold
1980,Lake Placid,Skating,"MUELLER, Leah",USA,Women,500M,Silver
1980,Lake Placid,Skiing,"MAHRE, Phillip",USA,Men,Slalom,Silver
1984,Sarajevo,Skating,"HAMILTON, Scott",USA,Men,Individual,Gold
1984,Sarajevo,Skating,"SUMNERS, Rosalyn",USA,Women,Individual,Silver
1984,Sarajevo,Skating,"CARRUTHERS, Kitty",USA,Women,Pairs,Silver
1984,Sarajevo,Skating,"CARRUTHERS, Peter",USA,Men,Pairs,Silver
1984,Sarajevo,Skiing,"JOHNSON, William",USA,Men,Downhill,Gold
1984,Sarajevo,Skiing,"ARMSTRONG, Debbie",USA,Women,Giant Slalom,Gold
1984,Sarajevo,Skiing,"COOPER, Christin",USA,Women,Giant Slalom,Silver
1984,Sarajevo,Skiing,"MAHRE, Phillip",USA,Men,Slalom,Gold
1984,Sarajevo,Skiing,"MAHRE, Steven",USA,Men,Slalom,Silver
1988,Calgary,Skating,"BOITANO, Brian",USA,Men,Individual,Gold
1988,Calgary,Skating,"THOMAS, Debra",USA,Women,Individual,Bronze
